country_name,country_code,indicator_name,Average_Inflation1960_1964,Average_Inflation1965_1969,Average_Inflation1970_1974,Average_Inflation1975_1979,Average_Inflation1980_1984,Average_Inflation1985_1989,Average_Inflation1990_1994,Average_Inflation1995_1999,Average_Inflation2000_2004,Average_Inflation2005_2009,Average_Inflation2010_2014,Average_Inflation2015_2019,Inflation_2021,Inflation_2022
Costa Rica,CRI,"Inflation, consumer prices (annual %)",2.43,1.68,2.6,8.5,37.98,16.22,18.57,15.13,1.63,11.18,4.96,1.35,0.72,1.73
Caribbean small states,CSS,"Inflation, consumer prices (annual %)",0,3.37,1.69,12.22,9.2,4.18,4.16,2.85,2.31,4.57,2.64,0.88,0.4,2.24
Cuba,CUB,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curacao,CUW,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,1.4,3.77,2.23,1.25,0,0
Cayman Islands,CYM,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,1.25,0.59,0,0
Cyprus,CYP,"Inflation, consumer prices (annual %)",0.39,1.66,1.3,6.54,8.35,3.25,5.12,2.61,3.7,2.45,1.27,0.26,0.64,2.45
Czech Republic,CZE,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,8.39,7.84,2.64,2.92,1.69,1.69,3.16,3.84
Germany,DEU,"Inflation, consumer prices (annual %)",2.4,2.31,2.35,4.13,4.55,1.25,3.79,1.32,1.51,1.67,1.52,1.14,0.51,3.14
Djibouti,DJI,"Inflation, consumer prices (annual %)",0,0,0,0,3.63,4.87,0,0,1.5,5.4,3.36,1.19,1.78,0
Dominica,DMA,"Inflation, consumer prices (annual %)",0,2.46,1.23,9.6,4.81,3.94,3.16,1.52,1.24,2.78,1.25,0.42,0.73,0.52
Denmark,DNK,"Inflation, consumer prices (annual %)",4.26,5.95,5.1,9.87,9.48,4.34,2.8,2.15,2.18,2.3,1.76,0.68,0.42,1.85
Dominican Republic,DOM,"Inflation, consumer prices (annual %)",2.48,0.26,1.37,9.55,11.54,3.21,23.6,7.51,2.15,6,4.73,2.22,3.78,8.24
Algeria,DZA,"Inflation, consumer prices (annual %)",0,0,0,11.7,8.96,9.1,24.76,12.36,2.84,3.59,4.7,4.6,2.42,7.23
